"","Features1","Features2","Correlation","Adj.P.value"
"1","aac","Aminoglycoside_Nucleotidyltransferase",0.69621,0.0143993937097385
"2","aac","aph",0.69621,0.0143993937097385
"3","aac","arna",0.68628,0.0143993937097385
"4","aac","Class A Beta-Lactamase",0.69621,0.0460327074500303
"5","aac","emrd",0.68628,0.0143993937097385
"6","aac","lnu",0.69621,0.0143993937097385
"7","aac","macab",0.69621,0.0245636716224952
"8","aac","mdtef",0.68628,0.0143993937097385
"9","aac","mdtg",0.81128,0.0143993937097385
"10","aac","mdth",0.68628,0.0143993937097385
"11","aac","mdtm",0.69621,0.0143993937097385
"12","aac","mdtnop",0.81128,0.0143993937097385
"13","aac","MFSAntibioticEffluxPump",0.81128,0.0143993937097385
"14","aac","Quninolone_Resistance",0.69621,0.0143993937097385
"15","aac","Tetracycline_Ribosomal_Protection",0.81128,0.0143993937097385
"16","aac","Enterococcus",0.69621,0.0143993937097385
"17","aac","Escherichia",0.68628,0.0143993937097385
"18","aac","Helicobacter",0.69621,0.0143993937097385
"19","ABC_Efflux_Pump","Class A Beta-Lactamase",0.69621,0.0143993937097385
"20","ABC_Efflux_Pump","macab",0.69621,0.0143993937097385
"21","ABC_Efflux_Pump","mdtg",0.69621,0.0143993937097385
"22","ABC_Efflux_Pump","Quninolone_Resistance",0.81128,0.0143993937097385
"23","acr","Gene_Modulating_Antibiotic_Efflux",0.69152,0.0359394703656999
"24","Aminoglycoside_Nucleotidyltransferase","aph",0.69621,0
"25","Aminoglycoside_Nucleotidyltransferase","dfra",0.69621,0.0460327074500303
"26","Aminoglycoside_Nucleotidyltransferase","lnu",0.69621,0
"28","Aminoglycoside_Nucleotidyltransferase","Enterococcus",0.69621,0
"29","Aminoglycoside_Nucleotidyltransferase","Helicobacter",0.69621,0
"30","ant","aph",0.68628,0.0460327074500303
"31","ant","Prevotella",0.89604,0
"33","aph","Chloramphenicol_Acetyltransferase",0.69621,0.0143993937097385
"34","aph","dfra",0.81128,0
"35","aph","lnu",0.69621,0.0143993937097385
"36","aph","Enterococcus",0.69621,0.0143993937097385
"37","aph","Helicobacter",0.69621,0.0143993937097385
"39","arna","bcr_mfs",0.81128,0
"40","arna","bla_c",0.81128,0.0245636716224952
"42","arna","emrd",0.89604,0
"43","arna","Gene_Modulating_Antibiotic_Efflux",0.81128,0
"44","arna","ksga",0.81128,0
"45","arna","macab",0.81128,0
"46","arna","mdtef",0.89604,0
"47","arna","mdtg",0.89604,0
"48","arna","mdth",0.89604,0
"49","arna","mdtl",0.68628,0.0143993937097385
"50","arna","mdtm",0.81128,0.0143993937097385
