clade_name,Acholeplasma_virus_L2,Bacteroides_phage_B124_14,Bacteroides_phage_B40_8,Enterobacteria_phage_cdtI,Enterobacteria_phage_P4,Enterobacteria_phage_YYZ_2008,Escherichia_phage_KBNP21,Escherichia_phage_TL_2011b,Escherichia_virus_K30,Escherichia_virus_P1,Escherichia_virus_phiV10,Escherichia_virus_wV8,Klebsiella_phage_JD001,Klebsiella_virus_KP32,Lactococcus_phage_P087,Planktothrix_phage_PaV_LD,Salmonella_phage_Vi_II_E1,Salmonella_virus_Epsilon15,Staphylococcus_phage_StB20,Streptococcus_virus_7201,Streptococcus_virus_DT1,Streptococcus_virus_phiAbc2,Streptococcus_virus_Sfi21,Stx2_converting_phage_1717
TH990,0,0,0,9.83341,8.84158,0,0,12.56075,0,0.63228,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75475
TH980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TH950,0,17.57166,37.16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.40371,0,0,0,0,0,0
TH940,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
TH920,0,0,0,0,0,0,0,0,0,0,4.34368,0,0,0,0,0,0,0,0,0,0,0,0,79.19753
TH910,0,0,0,0,5.7654,0,88.7536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.481,0
TH1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH1130,0,0,0,10.31144,5.14436,17.9427,0,0,0,12.46992,0,0,0,0,0,0,0,0,0,4.5616,4.53944,0,0,26.04268
TH1120,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
TH1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01644,31.79893,14.55349,24.54404,0
TH1040,0,0,0,0,0,0,0,0,17.2088,0,0,0,0,82.7912,0,0,0,0,0,0,0,0,0,0
TH1030,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA340,0,0,0,0,1.6013,0,6.515,0,0,2.01497,0,14.05328,0,0,0,0,3.18153,0,0,0,0,0,0,1.67211
TA330,0,0,0,1.49132,3.78625,0,2.83381,0,0,1.30499,0.22008,0,0,0,0,0,1.0488,0,0,0,0,0,0,5.11885
TA320,0,0,0,0,6.14615,0,0,0,0,12.38253,0,0,0,0,0,0,11.93125,0,11.28657,12.22912,0,0,0,19.88239
EW070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESD060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.53972,40.46028,0,0,0,0,0,0,0,0
ES060,12.97982,0,0,0,0,0,0,0,0,8.62324,0,0,0,0,0,0,1.36247,0,0,0,0,0,0,0
ES050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
